Country,Alfred García,Oques Grasses,Figa Flawas,Lal'Ba,Els Amics De Les Arts,JULS,Miki Núñez,Sexenni,Buhos,Ginestà,Suu,Will.X.O,Adrien Broadway,La Fúmiga,Joan Dausà,Gigi Ros,Mushkaa,Flashy Ice Cream,Sopa De Cabra,Mama Dousha,dani6ix,CLASSE B,Laura Gibert,The Tyets,Ven'nus,Galgo Lento,Scorpio,Julieta,xicu,Bali 13,Júlia Blum,Miquel Abras,Sara Roy,Itaca Band,Iglú,Yung Rajola,Uri Santafé,Al·lèrgiques al pol·len,Beatneeks,Lluís Sánchez,BALMA,Siderland,La Tour De Carol,Blaumut,Alleh,Quevedo,Danny Ocean,Myke Towers,Cano,Clarent,KAROL G,Yan Block,Beéle,Blessd,Moncho Chavea,Bizarrap,JC Reyes,Rels B,Omar Courtz,Rauw Alejandro,Los Sufridos,Rvfv,ROSÉ,Bad Bunny,Beny Jr,Lady Gaga,Feid,ROA,Lola Indigo,Kapo,FloyyMenor,La La Love You,Gonzy,Amaia,Morad,Dani Fernández,DELLAFUENTE,Duki,Sebastian Yatra,Dei V,Cyril Kamer,Gracie Abrams,Shakira,La T y La M,Gordo,Jombriel,Tiago PZK,Renzo ED,Big One,Los Ángeles Azules,Luck Ra,Salastkbron,Valentino Merlo,Emilia,Pinky SD,Q' Lokura,Emanero,TINI,ECKO,King Savagge,Yami Safdie,Hernan y La Champion's Liga,Paulo Londra,No Te Va Gustar,Nicki Nicole,Standly,DJ Tao,Babasonicos,Lucky Brown,Oruam,Nilo,Henry Freitas,Brenno & Matheus,Eric Land,MC Tuto,Grupo Menos É Mais,Nuzio Medeiros,Léo Foguete,J. Eskine,NATTAN,Clayton & Romário,Jorge & Mateus,MC LUUKY,Hugo & Guilherme,Henrique & Juliano,Guilherme & Benuto,DJ TOPO,Mc Negão Original,Murilo Huff,Maiara & Maraisa,MC Marks,MC Cebezinho,Luan Santana,Gusttavo Lima,Luan Pereira,Ferrugem,Israel & Rodolffo,DJ Douglinhas,Felipe Araújo,Wesley Safadão,Bruno & Denner,Thiago Carvalho,Supernova Ent,Kaique e Felipe,Grelo,Matheus & Kauan,PEDRO SAMPAIO,Boladin 211,MC GP,MC Kevinho,Marracash,Simba La Rue,Artie 5ive,Pinguini Tattici Nucleari,Olly,Cesare Cremonini,Alfa,Baby Gang,Papa V,Geolier,ANNA,Achille Lauro,Ghali,Sal Da Vinci,Lazza,Tony Effe,Lele Blade,Damiano David,CoCo,RRARI DAL TACCO,Kid Yugi,Astro,Ornella Vanoni,Capo Plaza,Ultimo,Billie Eilish,JVLI,Gazo,GIMS,Damso,SDM,Joé Dwèt Filé,Bouss,Dr. Yaro,Arcane,Theodora,Jul,Guy2Bezbar,SANTA,Werenoi,Favé,Ninho,Sevdaliza,Teddy Swims,Lola Young,Linh,AMK,La Mano 1.9,Helena,Tiakola,Kavinsky,Booba,Denden,Soolking,Macklemore,Alex Warren,David Guetta,Benson Boone,Sabrina Carpenter,VEN1,Jaden Bojsen,Kendrick Lamar,"Tyler, The Creator",Morgan Wallen,Gigi Perez,The Weeknd,Chappell Roan,Jimin,SZA,Post Malone,Lil Baby,Shaboozey,Don Toliver,The Marías,GloRilla,The Neighbourhood,Noah Kahan,Doechii,Tommy Richman,Hozier,Neton Vega,Imogen Heap,Sam Barber,Zach Bryan,W Sound,Maisak,Heredero,Nanpa Básico,Kris R.,Ryan Castro,Maluma,ONIKX,Reykon,Andy Rivera,Grupo Niche,Oscar Maydon,J Balvin,Boza,Dalmata,BTS,Frankie Ruiz,Kenny Die,Myles Smith,The Killers,Coldplay,Chrystal,Dream Supplier,BL3SS,Cynthia Erivo,Sonny Fodera,Tyla,Fleetwood Mac,Naughty Boy,The Police,Dasha,PAWSA,Kings of Leon,DJ Lalo,Plan B,Yailin la Mas Viral,Sossa,Leo Dan,Lalo Rodriguez,Rvssian,Adolescent's Orquesta,Grupo Frontera,Tito Double P,Gabito Ballesteros,Peso Pluma,Fuerza Regida,Jorsshh,Chino Pacas,Natanael Cano,Junior H,Clave Especial,Carin Leon,Luis R Conriquez,Victor Mendivil,Julión Álvarez y su Norteño Banda,Victor Valverde,LEGADO 7,Cris Mj,Martinwhite,Jere Klein,Grupo Zúmbale Primo,Bayron Fire,Fran C,Santaferia,Ovy On The Drums,Jairo Vera,Gino Mella,SpuTniK Project,Liaze,ANNA ASTI,Jakone,Irina Dubtsova,wagna,MACAN,Konfuz,Geegun,Big Baby Tape,Bearwolf,Gio Pika,BLIZKEY,BEARWOLF,Poshlaya Molly,Татьяна Куртукова,Aarne,Xolidayboy,Женя Трофимов,Navai,6YNTHMANE,Wallem,Leonid Agutin,Misha Xramovi,Xcho,Irina Kairatovna,KARAT,UNIK,VEIGEL,Криминальный бит,Merab Amzoevi,Вектор А,Bittuev,WhyBaby?,A.V.G,Mult96,TIGO,Costa Lacoste,Lusia Chebotina,ebert,Linkin Park,Nina Chuba,Sosa La M,Jazeek,LACAZETTE,Bonez MC,SAMIRA,Loredana,AYLIVA,Shirin David,Berq,Artemas,FOURTY,HUGEL,Dimitri Vegas & Like Mike,cassö,Journey,Bobby Vandamme,Natasha Bedingfield,CYRIL,Mark Ambor,Aymen,Pashanim,Souly,Udo Lindenberg,Plutonio,Mizzy Miles,Dillaz,Slow J,Calema,Bluay,Mc Livinho,Adam Port,Richie Campbell,Matuê,Jung Kook,V,Jin,aespa,G-DRAGON,DAY6,BABYMONSTER,BIGBANG,ILLIT,NewJeans,fromis_9,Lim Young Woong,KISS OF LIFE,HAON,WOODZ,Axel Rulay,Rawayana,ElGrandeToto,La Fouine,Figoshin,Lazaro,Pause,Tawsen,Draganov,Najm,Delarue,Duke,Bilel Tacchini,KALIL,Bo9al,SKY,Ali S,Stormy,Douaa Lahyaoui,Niro,Snor,LFERDA,Mons,Nouamane Belaiachi,L'morphine,Lbenj,Theo Rose,Dani Mocanu,Tzanca Uraganu,Iuly Neamtu,Babasha,Sami G,AlbertNbn,Gya,NOUA UNSPE,Denis Ramniceanu,candyboii,IDK,Mgk666,Raihold,RAVA,Bogdan DLP,YNY Sebi,Alex Botea,Oscar,Costel Biju,Jador,Bolaget,Humlan Djojj,Babblarna,Gaboro,Molly Sandén,Yasin,Soppgirobygget,Y4ska,Avicii,ADAAM,Asme,Miriam Bryant,Purple Disco Machine,Miss Li,Sarettii,Lord Huron,Hooja,Anurag Saikia,Anuv Jain,Jasleen Royal,Sachet-Parampara,Faheem Abdullah,Karan Aujla,Yo Yo Honey Singh,Ram Sampath,Sachin-Jigar,Aditya Rikhari,Arijit Singh,Dhanda Nyoliwala,Pritam,Vishal Mishra,Shilpa Rao,Vishal-Shekhar,Diljit Dosanjh,Juss,yung kai,Mohammad Faiz,Amitabh Bhattacharya,Sachet Tandon,AUR,Khushi TDT,Hariharan,Atif Aslam,Mitraz,LA NUEVA ESCUELA,El Reja,Engel Montaz,Flamen Beretta,La Deskarga,Bauti Mascia,Max Carra,Mrs. GREEN APPLE,Da-iCE,Vaundy,Creepy Nuts,Omoinotake,tuki.,Kocchi no Kento,AKASAKI,back number,King Gnu,Kenshi Yonezu,CUTIE STREET,Number_i,Fujii Kaze,ヨルシカ,MISAMO,OFFICIAL HIGE DANDISM,YOASOBI,Yuuri,Fontaines D.C.,Pitbull,Lil Naay,Keyviem,Shadow Blow,El Blachy,Xavi The Destroyer,Braulio Fogon,Amenazzy,Jezzy,NTG,La Perversa,Aventura,Sin Nombre,Romeo Santos,Dionela,Maki,Arthur Nery,Up Dharma Down,Cup of Joe,PARTYNEXTDOOR,NOBITA,Hale,Robledo Timido,Adie,Over October,The Script,HELLMERRY,Bruno Mars,ALLMO$T,Daniel Caesar,Ariana Grande,Orange & Lemons,TJ Monterde,Calein,gins&melodies,December Avenue,Arctic Monkeys,Flow G,Hev Abi,Andmesh,For Revenge,.Feast,The Lantis,Ernie Zakri,Rio Clappy,Bernadya,Lyodra,Last Child,Anggi Marito,Juicy Luicy,Dudy Oris,Rony Parulian,Hindia,Adrian Khalif,Vierra,Nadin Amizah,Feby Putri,Mahalini,Nyoman Paul,Virgoun,Hal,Batas Senja,Tulus,Nidji,Suara Kayu,Yovie & Nuno,Nadhif Basalamah,Meiska,NDX A.K.A.,Raim Laode,Betrand Putra Onsu,Tiara Andini,RIAN,Djo,Chase Atlantic,La Única Tropical,Pascal,Trueno,Milo j,Vance Joy,Luke Combs,Taylor Swift,Royel Otis,The Kid LAROI,The Goo Goo Dolls
Catalonia,80.0,49.0,96.0,47.0,46.0,45.0,44.0,43.0,59.0,41.0,40.0,39.0,38.0,68.0,36.0,35.0,34.0,49.0,32.0,29.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,19.0,18.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,187.0,48.0,48.0,46.0,45.0,44.0,49.0,42.0,43.0,40.0,38.0,37.0,36.0,35.0,65.0,33.0,32.0,29.0,43.0,27.0,25.0,23.0,21.0,20.0,18.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,46.0,,,,,50.0,,,27.0,39.0,,,,,,2.0,30.0,,,,,,,,,,,28.0,,,,,,102.0,48.0,47.0,87.0,43.0,66.0,40.0,136.0,38.0,51.0,35.0,34.0,56.0,31.0,29.0,25.0,24.0,22.0,21.0,18.0,15.0,14.0,11.0,9.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,49.0,48.0,47.0,46.0,147.0,47.0,43.0,82.0,41.0,41.0,36.0,37.0,34.0,62.0,32.0,31.0,30.0,28.0,27.0,26.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,40.0,,,30.0,,,,,7.0,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,87.0,48.0,95.0,158.0,45.0,44.0,41.0,39.0,94.0,96.0,33.0,32.0,31.0,29.0,25.0,21.0,17.0,15.0,12.0,9.0,8.0,6.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,48.0,,,45.0,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,50.0,194.0,47.0,80.0,43.0,42.0,40.0,39.0,38.0,64.0,34.0,33.0,38.0,26.0,41.0,24.0,30.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,10.0,9.0,6.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,50.0,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,28.0,36.0,,,,,,,,,,,,,6.0,91.0,,,150.0,111.0,56.0,42.0,41.0,87.0,39.0,112.0,34.0,37.0,31.0,25.0,20.0,19.0,17.0,16.0,13.0,10.0,9.0,8.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,49.0,27.0,,,97.0,,62.0,218.0,,,,,,70.0,,,8.0,46.0,,16.0,105.0,,,59.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,42.0,39.0,38.0,37.0,36.0,35.0,33.0,31.0,28.0,21.0,14.0,12.0,11.0,6.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,48.0,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,76.0,46.0,,,,,,,,,,,2.0,,48.0,150.0,,,12.0,34.0,,47.0,38.0,99.0,10.0,21.0,27.0,,35.0,,,,,40.0,,,47.0,,4.0,,,,,,,,,,,,,,,,,,,,,43.0,30.0,44.0,25.0,23.0,20.0,19.0,18.0,15.0,14.0,11.0,7.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,43.0,44.0,,,82.0,,36.0,75.0,,,,8.0,10.0,95.0,,,39.0,93.0,,35.0,110.0,,,21.0,,,,,,,,,,,,,,,,134.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,42.0,,,,9.0,34.0,,,,,40.0,29.0,3.0,,,19.0,20.0,,,,,,,,,,,,,,,,43.0,28.0,18.0,17.0,16.0,14.0,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
